date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2022-06-01,AAPL,2022-06-17,103.75,Call,43.85,46.6,0.7116,0.9937,0.0008,-0.0147,0.0055,0.0450
2022-06-01,AAPL,2022-06-17,103.75,Put,0.01,0.07,0.6495,-0.0033,0.0005,-0.0063,0.0031,-0.0002
2022-06-01,AAPL,2022-06-17,107.5,Call,40.0,42.85,0.7116,0.9879,0.0014,-0.0241,0.0098,0.0463
2022-06-01,AAPL,2022-06-17,107.5,Put,0.01,0.08,0.6495,-0.007,0.001,-0.0123,0.0061,-0.0005
2022-06-01,AAPL,2022-06-17,111.25,Call,36.25,38.8,0.6573,0.9854,0.0018,-0.0261,0.0115,0.0477
2022-06-01,AAPL,2022-06-17,111.25,Put,0.05,0.12,0.6329,-0.0119,0.0016,-0.0191,0.0097,-0.0008
2022-06-01,AAPL,2022-06-17,115.0,Call,32.55,35.05,0.5279,0.9915,0.0014,-0.0145,0.0072,0.0498
2022-06-01,AAPL,2022-06-17,115.0,Put,0.07,0.12,0.5783,-0.0144,0.002,-0.0205,0.0114,-0.0010
2022-06-01,AAPL,2022-06-17,118.75,Call,28.9,31.65,0.6134,0.9656,0.004,-0.0481,0.0237,0.0496
2022-06-01,AAPL,2022-06-17,118.75,Put,0.1,0.16,0.5403,-0.0202,0.0029,-0.0256,0.0152,-0.0014
2022-06-01,AAPL,2022-06-17,122.5,Call,25.3,27.6,0.5101,0.9694,0.0044,-0.037,0.0215,0.0516
2022-06-01,AAPL,2022-06-17,122.5,Put,0.18,0.23,0.5144,-0.0316,0.0044,-0.0354,0.0221,-0.0021
2022-06-01,AAPL,2022-06-17,125.0,Call,22.35,25.05,0.4964,0.9579,0.0058,-0.0461,0.028,0.0519
2022-06-01,AAPL,2022-06-17,125.0,Put,0.26,0.29,0.4964,-0.0421,0.0058,-0.0432,0.028,-0.0029
2022-06-01,AAPL,2022-06-17,130.0,Call,19.1,19.35,0.4549,0.9284,0.0097,-0.0632,0.0425,0.0521
2022-06-01,AAPL,2022-06-17,130.0,Put,0.47,0.51,0.46,-0.0737,0.0098,-0.0623,0.0435,-0.0050
2022-06-01,AAPL,2022-06-17,134.0,Call,15.35,15.7,0.4293,0.8865,0.0144,-0.083,0.0599,0.0510
2022-06-01,AAPL,2022-06-17,134.0,Put,0.73,0.81,0.4298,-0.1135,0.0144,-0.0803,0.0604,-0.0073
2022-06-01,AAPL,2022-06-17,137.0,Call,12.7,13.05,0.412,0.8409,0.0189,-0.0997,0.0755,0.0492
2022-06-01,AAPL,2022-06-17,137.0,Put,1.1,1.16,0.4137,-0.1598,0.0189,-0.0977,0.0755,-0.0102
2022-06-01,AAPL,2022-06-17,140.0,Call,10.3,10.6,0.404,0.7765,0.0238,-0.1198,0.093,0.0460
2022-06-01,AAPL,2022-06-17,140.0,Put,1.63,1.66,0.399,-0.2208,0.024,-0.1149,0.0906,-0.0141
2022-06-01,AAPL,2022-06-17,143.0,Call,8.0,8.75,0.4085,0.6932,0.0276,-0.1418,0.1093,0.0415
2022-06-01,AAPL,2022-06-17,143.0,Put,2.3,2.51,0.3889,-0.2994,0.0288,-0.131,0.1098,-0.0188
2022-06-01,AAPL,2022-06-17,146.0,Call,5.9,6.15,0.3666,0.6113,0.0336,-0.1387,0.1193,0.0372
2022-06-01,AAPL,2022-06-17,146.0,Put,3.2,3.35,0.3671,-0.389,0.0337,-0.1362,0.1192,-0.0242
2022-06-01,AAPL,2022-06-17,149.0,Call,4.25,4.35,0.3555,0.5063,0.036,-0.1396,0.1242,0.0311
2022-06-01,AAPL,2022-06-17,149.0,Put,4.45,4.55,0.352,-0.4943,0.0366,-0.1356,0.1242,-0.0300
2022-06-01,AAPL,2022-06-17,152.5,Call,2.66,2.75,0.3435,0.3786,0.0356,-0.1284,0.1184,0.0235
2022-06-01,AAPL,2022-06-17,152.5,Put,6.25,6.5,0.3372,-0.6247,0.0363,-0.123,0.1185,-0.0366
2022-06-01,AAPL,2022-06-17,155.0,Call,1.81,1.88,0.3357,0.2914,0.0328,-0.113,0.1068,0.0182
2022-06-01,AAPL,2022-06-17,155.0,Put,7.65,8.4,0.3302,-0.7133,0.0334,-0.1077,0.109,-0.0401
2022-06-01,AAPL,2022-06-17,157.5,Call,1.19,1.24,0.3303,0.2145,0.0284,-0.0945,0.0908,0.0134
2022-06-01,AAPL,2022-06-17,157.5,Put,9.8,11.15,0.3848,-0.7492,0.0268,-0.1174,0.0998,-0.0421
2022-06-01,AAPL,2022-06-17,160.0,Call,0.77,0.81,0.3287,0.153,0.0231,-0.0761,0.0735,0.0096
2022-06-01,AAPL,2022-06-17,160.0,Put,11.85,12.9,0.3723,-0.816,0.0232,-0.0943,0.082,-0.0435
2022-06-01,AAPL,2022-06-17,162.5,Call,0.49,0.56,0.3324,0.1085,0.018,-0.0606,0.058,0.0068
2022-06-01,AAPL,2022-06-17,162.5,Put,14.1,14.45,0.3332,-0.8928,0.0181,-0.0576,0.0591,-0.0419
2022-06-01,AAPL,2022-06-17,165.0,Call,0.32,0.35,0.3341,0.0741,0.0135,-0.0458,0.0436,0.0047
2022-06-01,AAPL,2022-06-17,165.0,Put,16.4,17.3,0.3874,-0.8937,0.0155,-0.0669,0.0595,-0.0431
2022-06-01,AAPL,2022-06-17,170.0,Call,0.14,0.16,0.347,0.0359,0.0073,-0.0267,0.0245,0.0023
2022-06-01,AAPL,2022-06-17,170.0,Put,21.05,22.55,0.456,-0.9134,0.0113,-0.0678,0.0523,-0.0434
2022-06-01,AAPL,2022-06-17,175.0,Call,0.07,0.1,0.3724,0.0204,0.0043,-0.0179,0.0154,0.0013
2022-06-01,AAPL,2022-06-17,175.0,Put,25.55,27.8,0.498,-0.9357,0.0083,-0.0586,0.0399,-0.0423
2022-06-01,AAPL,2022-06-17,180.0,Call,0.04,0.05,0.391,0.0111,0.0024,-0.0111,0.0091,0.0007
2022-06-01,AAPL,2022-06-17,180.0,Put,30.2,32.55,0.4491,-0.9784,0.004,-0.0206,0.0164,-0.0290
2022-06-01,AAPL,2022-06-17,185.0,Call,0.03,0.04,0.4259,0.0082,0.0017,-0.0093,0.007,0.0005
2022-06-01,AAPL,2022-06-17,185.0,Put,34.85,37.6,0.4259,-0.9945,0.0017,-0.0054,0.0051,-0.0105
2022-06-01,AAPL,2022-06-17,190.0,Call,0.02,0.04,0.4259,0.0035,0.0008,-0.0043,0.0032,0.0002
2022-06-01,AAPL,2022-06-17,190.0,Put,39.8,42.6,0.4259,-0.9995,0.0006,0.0,0.001,0.0000
2022-06-01,AAPL,2022-06-17,195.0,Call,0.01,0.03,0.4259,0.0014,0.0003,-0.0019,0.0014,0.0001
2022-06-01,AAPL,2022-06-17,195.0,Put,44.85,47.6,0.4259,-1.0,0.0,0.0,0.0,0.0000
2022-06-01,AAPL,2022-07-01,105.0,Call,41.65,46.0,0.5007,0.9938,0.0008,-0.0085,0.0074,0.0854
2022-06-01,AAPL,2022-07-01,105.0,Put,0.12,0.19,0.5921,-0.0162,0.0016,-0.017,0.0173,-0.0021
2022-06-01,AAPL,2022-07-01,110.0,Call,37.55,40.55,0.5714,0.973,0.0026,-0.0277,0.0266,0.0868
